Date,Lake,TAG.NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site.Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On Time (s),Water Temp (C),Secchi (cm),Weather,Year
4/4/2019,N Twin ,6392,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6342,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5050,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,6778,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5314,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16476,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,5015,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,12657,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15118,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14840,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,12975,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14865,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16047,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11723,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16106,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16044,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16452,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15031,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,12829,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11490,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11410,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14445,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14456,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11963,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15217,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15162,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15278,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11475,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11136,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14216,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16586,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15010,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11132,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11958,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11106,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14281,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15152,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11481,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16497,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14859,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11437,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16577,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16663,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15083,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11482,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,14805,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15243,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,15978,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11966,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,5525,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16059,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,5614,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11395,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16603,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11901,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,15155,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11902,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16051,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16578,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14486,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14842,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14297,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,15361,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14887,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16285,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6467,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,5519,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6351,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11476,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11327,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16626,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14820,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6703,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,12722,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16495,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14422,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6346,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14426,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6231,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6781,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,12653,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,5527,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6442,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,5625,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,12948,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14900,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,15041,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11432,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16598,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16280,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,5560,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16999,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,15221,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,16512,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14853,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,15077,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6382,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11960,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,6403,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,5526,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14273,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,15382,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11130,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11968,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,5624,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,14271,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/5/2019,N Twin ,11378,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,15022,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,11500,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
