Lake,Envelope #,Species,TL mm,Weight g,Spine MAS,Otolith MAS,Spine PVG,Otolith PVG,Spine TFF,Otolith TFF,Spine DRF,Otolith DRF
Center,77,BIB,416,1180,4,,8,,6,,,
Center,78,BIB,509,2638,6,,16,,17,,,
Center,79,BIB,769,7713,7,,7,,17,,,
Center,80,BIB,425,1171,4,,9,,4,,,
Center,81,BIB,483,2102,6,,7,,5,,,
Center,82,BIB,425,1167,5,,8,,4,,,
Center,83,BIB,676,5039,7,,13,,11,,,
Center,84,BIB,654,4944,11,,8,,14,,,
Center,85,BIB,677,4994,10,,11,,8,,,
Center,86,BIB,699,5707,12,,12,,12,,,
Center,87,BIB,618,3578,10,,8,,13,,,
Center,88,BIB,581,3346,10,,13,,18,,,
Center,89,BIB,638,4540,11,,9,,15,,,
Center,90,BIB,446,1535,4,,7,,6,,,
Center,91,BIB,612,4545,9,,17,,8,,,
Center,92,BIB,625,4045,9,,8,,14,,,
Center,93,BIB,447,1339,4,,7,,8,,,
Center,94,BIB,578,3287,8,,8,,8,,,
Center,95,BIB,502,2179,7,,9,,10,,,
Center,96,BIB,558,3055,8,,8,,6,,,
Center,97,BIB,437,1439,5,,10,,8,,,
Center,98,BIB,548,3024,7,,7,,8,,,
Center,99,BIB,482,1712,4,,7,,10,,,
Center,100,BIB,495,2066,7,,9,,9,,,
Center,101,BIB,527,2556,7,,9,,6,,,
Center,102,BIB,604,3414,8,,11,,17,,,
Center,103,BIB,604,3641,9,,10,,10,,,
Center,104,BIB,598,3260,6,,6,,14,,,
Center,105,BIB,524,2352,5,,9,,11,,,
Center,106,BIB,403,1008,4,,10,,7,,,
Center,107,BIB,540,2724,8,,8,,10,,,
Center,108,BIB,756,7291,9,,7,,9,,,
Center,109,BIB,632,4590,8,,12,,18,,,
Center,110,BIB,396,922,5,,8,,7,,,
Center,111,BIB,543,3137,6,,7,,8,,,
Center,112,BIB,422,1226,5,,7,,6,,,
Center,113,BIB,556,2438,6,,6,,15,,,
Center,114,BIB,428,1226,5,,6,,8,,,
Center,115,BIB,622,3246,6,,5,,10,,,
Center,116,BIB,522,2897,5,,8,,7,,,
Center,117,BIB,523,2279,6,,6,,6,,,
Center,118,BIB,617,3700,10,,7,,14,,,
Center,119,BIB,543,2579,6,,10,,7,,,
Center,120,BIB,652,4808,9,,9,,25,,,
Center,121,COC,658,3019,11,,8,,12,,,
Center,122,COC,702,3496,11,,11,,13,,,
Center,123,COC,689,4740,13,,12,,16,,,
Center,124,COC,654,3223,10,,10,,15,,,
Center,125,COC,752,4708,12,,14,,30,,,
Center,126,COC,673,4572,9,,8,,16,,,
Center,127,COC,628,2783,10,,12,,9,,,
Center,128,COC,658,3323,9,,9,,13,,,
Center,129,COC,666,4431,11,,10,,11,,,
Center,130,COC,678,3509,9,,9,,13,,,
Center,131,COC,620,2983,6,,7,,16,,,
Center,132,COC,782,6960,11,,10,,11,,,
Center,133,COC,683,4590,10,,12,,9,,,
Center,134,COC,694,4554,10,,13,,12,,,
Center,135,COC,735,5557,15,,9,,21,,,
Center,136,COC,822,7055,11,,8,,11,,,
Center,137,COC,709,4640,10,,8,,15,,,
Center,138,COC,734,4599,11,,7,,19,,,
Center,139,COC,690,4109,10,,11,,13,,,
Center,140,COC,642,3042,11,,13,,16,,,
Center,141,COC,723,5357,10,,10,,11,,,
Center,142,COC,718,5752,12,,9,,8,,,
Center,143,COC,695,4490,9,,7,,13,,,
Center,144,COC,713,4885,8,,8,,12,,,
Center,145,COC,614,2633,7,,13,,11,,,
Center,146,COC,571,2452,6,,6,,7,,,
Center,147,COC,637,3832,11,,13,,17,,,
Center,148,COC,636,3723,12,,7,,13,,,
Center,149,COC,526,1934,3,,6,,11,,,
Center,150,COC,629,3046,7,,7,,12,,,
Center,151,COC,672,3405,14,,9,,11,,,
Center,152,COC,643,3273,11,,14,,24,,,
Center,153,COC,744,5139,10,,12,,11,,,
Center,154,COC,642,3777,10,,8,,16,,,
Center,155,COC,714,4967,10,,12,,20,,,
Center,156,COC,693,4980,9,,10,,12,,,
Center,157,COC,681,4649,10,,8,,9,,,
Center,158,COC,615,2865,8,,8,,16,,,
Center,159,COC,723,5366,12,,9,,14,,,
Center,160,COC,692,4581,11,,12,,14,,,
Center,161,COC,728,5802,10,,7,,11,,,
Center,162,COC,647,3369,10,,7,,8,,,
Center,163,COC,452,1185,3,,6,,7,,,
Center,164,COC,646,3814,11,,11,,15,,,
Center,165,COC,631,3332,5,,9,,8,,,
Center,166,COC,711,5266,10,,10,,10,,,
Center,167,COC,668,3228,8,,8,,8,,,
Center,168,COC,537,1698,7,,8,,11,,,
Center,169,COC,637,3913,11,,9,,13,,,
Center,170,COC,742,5720,9,,10,,11,,,
Center,171,COC,725,4363,12,,7,,12,,,
Center,172,COC,619,2629,7,,8,,9,,,
Center,173,COC,655,3514,9,,8,,11,,,
Center,174,COC,647,3900,12,,9,,11,,,
Center,175,COC,653,3532,10,,8,,17,,,
Center,176,COC,610,2801,7,,7,,11,,,
Center,177,COC,615,2647,6,,8,,3,,,
Center,178,COC,713,4862,11,,12,,16,,,
Center,179,COC,639,3714,6,,6,,6,,,
Center,180,COC,612,2697,7,,8,,7,,,
Center,181,COC,615,3641,7,,9,,11,,,
Center,182,COC,634,2874,6,,9,,12,,,
Center,183,COC,628,2883,9,,8,,9,,,
Center,184,COC,693,4558,12,,13,,14,,,
Center,185,COC,641,3201,11,,11,,15,,,
Center,186,COC,639,3546,11,,9,,14,,,
Center,187,COC,633,3773,11,,8,,10,,,
Center,188,COC,632,2479,8,,8,,10,,,
Center,189,COC,701,4649,12,,12,,20,,,
Center,190,COC,534,2088,4,,7,,8,,,
Center,191,COC,682,4490,14,,9,,14,,,
Center,192,COC,526,1911,6,,6,,7,,,
Center,193,COC,599,2706,7,,7,,11,,,
Center,194,COC,660,4122,8,,9,,5,,,
Center,195,COC,698,4313,9,,8,,11,,,
Center,196,COC,500,1998,4,,8,,9,,,
Center,197,COC,608,2633,12,,6,,18,,,
Center,198,COC,668,4313,15,,11,,16,,,
Center,199,COC,663,4227,13,,12,,8,,,
Center,200,COC,668,3918,10,,9,,11,,,
Center,201,COC,546,2424,5,,6,,6,,,
