Date,Lake,Run,On-Time (s),EnvTag,Species,TL mm,Weight g
6/1/2018,Blue,2,1724,903,COC,374,
6/1/2018,Blue,2,1724,904,COC,434,
6/1/2018,Blue,2,1724,905,COC,444,
6/1/2018,Blue,2,1724,906,COC,474,
6/1/2018,Blue,2,1724,907,COC,350,
6/1/2018,Blue,2,1724,908,COC,436,
6/1/2018,Blue,2,1724,909,COC,372,
6/1/2018,Blue,2,1724,910,COC,372,
6/1/2018,Blue,2,1724,911,COC,388,
6/1/2018,Blue,2,1724,912,COC,362,
6/1/2018,Blue,2,1724,913,COC,484,
6/1/2018,Blue,2,1724,914,COC,346,
6/1/2018,Blue,2,1724,915,COC,430,
6/1/2018,Blue,2,1724,916,COC,460,
6/1/2018,Blue,2,1724,917,COC,442,
6/1/2018,Blue,2,1724,919,COC,358,
6/1/2018,Blue,2,1724,920,COC,456,
6/1/2018,Blue,2,1724,921,COC,464,
6/1/2018,Blue,2,1724,922,COC,372,
6/1/2018,Blue,2,1724,923,COC,378,
6/1/2018,Blue,2,1724,924,COC,406,
6/1/2018,Blue,2,1724,925,COC,418,
6/1/2018,Blue,2,1724,926,COC,386,
6/1/2018,Blue,2,1724,927,COC,362,
6/1/2018,Blue,2,1724,928,COC,472,
6/1/2018,Blue,2,1724,929,COC,352,
6/1/2018,Blue,2,1724,930,COC,542,
6/1/2018,Blue,2,1724,931,COC,470,
6/1/2018,Blue,2,1724,932,COC,366,
6/1/2018,Blue,2,1724,933,COC,462,
6/1/2018,Blue,2,1724,934,COC,428,
6/1/2018,Blue,2,1724,935,COC,380,
6/1/2018,Blue,2,1724,936,COC,532,
6/1/2018,Blue,2,1724,937,COC,482,
6/1/2018,Blue,2,1724,938,COC,398,
6/1/2018,Blue,2,1724,939,COC,372,
6/1/2018,Blue,2,1724,940,COC,406,
6/1/2018,Blue,2,1724,941,COC,356,
6/1/2018,Blue,2,1724,942,COC,386,
6/1/2018,Blue,2,1724,943,COC,360,
6/1/2018,Blue,2,1724,944,COC,400,
6/1/2018,Blue,2,1724,945,COC,384,
6/1/2018,Blue,2,1724,946,COC,496,
6/1/2018,Blue,2,1724,947,COC,390,
6/1/2018,Blue,2,1724,948,COC,362,
6/1/2018,Blue,2,1724,949,COC,360,
6/1/2018,Blue,2,1724,950,COC,384,
6/1/2018,Blue,2,1724,951,COC,416,
6/1/2018,Blue,2,1724,952,COC,376,
6/1/2018,Blue,2,1724,953,COC,514,
6/1/2018,Blue,2,1724,954,COC,356,
6/1/2018,Blue,2,1724,955,COC,466,
6/1/2018,Blue,2,1724,956,COC,376,
