Lake,#,Species,TL.mm,Weight.g,OtolithMAS1,SpineMAS1,OtolithMAS2,SpineMAS2,OtolithPVG1,SpinePVG1
Blue,71,Carp,340,550,4,3,4,3,,
Blue,72,Carp,368,625,4,4,4,4,,
Blue,73,Carp,358,610,,3,,3,,
Blue,74,Carp,272,285,2,,1,,,
Blue,75,Carp,348,550,3,3,3,3,,
Blue,76,Carp,258,245,,,,,,
Blue,77,Carp,464,1415,8,7,7,8,,
Blue,78,Carp,540,1620,7,7,8,8,,
Blue,79,Carp,490,1300,6,7,6,7,,
Blue,80,Carp,488,1280,6,5,6,6,,
Blue,81,Carp,414,785,3,3,3,3,,
Blue,82,Carp,336,445,3,3,3,4,,
Blue,83,Carp,348,510,4,4,3,4,,
Blue,84,Carp,380,705,5,4,5,4,,
Blue,85,Carp,344,520,4,3,3,3,,
Blue,86,Carp,456,1145,5,5,5,5,,
Blue,87,Carp,424,960,4,4,4,4,,
Blue,88,Carp,386,765,,4,,4,,
Blue,89,Carp,378,670,5,5,5,6,,
Blue,90,Carp,370,645,4,4,4,4,,
Blue,91,Carp,332,480,4,,4,,,
Blue,92,Carp,336,535,4,4,4,4,,
Blue,93,Carp,352,495,4,4,4,3,,
Blue,94,Carp,350,555,4,4,4,4,,
Blue,95,Carp,366,600,5,5,4,4,,
Blue,96,Carp,272,275,1,,1,,,
Blue,97,Carp,312,430,3,,2,,,
Blue,98,Carp,344,575,4,3,3,2,,
Blue,99,Carp,330,480,3,3,3,3,,
Blue,100,Carp,354,555,3,4,4,4,,
Blue,101,Carp,328,450,2,,2,4,,
Blue,102,Carp,318,450,2,,2,,,
